Elem  Pot 1    Pot 2    Mass    Abund   Affinity
H_   13.595   0.000    1.008  12.000    0.80
He   24.580  54.403    4.003  11.000    0.0
Li    5.390  75.620    6.939   1.000    0.0
Be    9.320  18.210    9.012   1.150    0.0
B_    8.298  25.150   10.811   2.600    0.0
C_   11.256  24.376   12.011   8.690    1.12
N_   14.529  29.590   14.007   7.990    0.0
O_   13.614  35.110   16.000   8.910    1.47
F_   17.418  34.980   18.998   4.560    3.45
Ne   21.559  41.070   20.183   8.000    0.0
Na    5.138  47.290   22.990   6.330    0.0
Mg    7.644  15.030   24.312   7.580    0.0
Al    5.984  18.823   26.982   6.470    0.44
Si    8.149  16.340   28.086   7.550    1.38
P_   10.474  19.720   30.974   5.450    0.75
S_   10.357  23.405   32.064   7.210    2.07
Cl   13.012  23.798   35.453   5.500    3.61
Ar   15.755  27.620   39.948   6.580    0.0
K_    4.339  31.810   39.102   5.120    0.0
Ca    6.111  11.868   40.080   6.360    0.08
Sc    6.538  12.891   44.956   3.100    0.0
Ti    6.825  13.630   47.900   5.020    0.0
V_    6.738  14.205   50.942   4.000    0.0
Cr    6.763  16.493   51.996   5.670    0.0
Mn    7.432  15.636   54.938   5.450    0.0
Fe    7.896  16.178   55.847   7.670    0.0
Co    7.863  17.052   58.933   4.920    0.0
Ni    7.633  18.150   58.710   6.250    0.0
Cu    7.724  20.286   63.540   4.210    0.0
Zn    9.391  17.960   65.370   4.600    0.0
Ga    5.997  20.509   69.720   2.880    0.0
Ge    7.880  15.930   72.590   3.630    0.0
As    9.810  18.630   74.920   2.300    0.0
Se    9.750  21.500   78.960   3.200    0.0
Br   11.840  21.600   79.910   2.600    0.0
Kr   13.996  24.565   83.800   3.200    0.0
Rb    4.176  27.500   85.470   2.600    0.0
Sr    5.692  11.027   87.620   2.900    0.0
Y_    6.377  12.233   88.905   2.100    0.0
Zr    6.838  13.130   91.220   2.750    0.0
Nb    6.881  14.316   92.906   1.950    0.0
Mo    7.100  16.150   95.940   2.160    0.0
Tc    7.280  15.260   99.000   0.000    0.0
Ru    7.360  16.760  101.070   1.830    0.0
Rh    7.460  18.070  102.900   1.200    0.0
Pd    8.330  19.420  106.400   1.500    0.0
Ag    7.574  21.480  107.870   0.850    0.0
Cd    8.991  16.904  112.400   1.850    0.0
In    5.785  18.860  114.820   1.650    0.0
Sn    7.340  14.630  118.690   1.900    0.0
Sb    8.640  16.500  121.750   1.100    0.0
Te    9.010  18.600  127.600   2.000    0.0
I_   10.454  19.090  126.900   1.400    0.0
Xe   12.127  21.200  131.300   2.000    0.0
Cs    3.893  25.100  132.900   1.100    0.0
Ba    5.210  10.001  137.340   2.090    0.0
La    5.577  11.060  138.910   1.130    0.0
Ce    5.466  10.850  140.120   1.550    0.0
Pr    5.422  10.550  140.910   0.710    0.0
Nd    5.489  10.730  144.240   1.500    0.0
Pm    5.554  10.899  147.000   0.000    0.0
Sm    5.631  11.069  150.350   1.000    0.0
Eu    5.666  11.241  151.960   0.700    0.0
Gd    6.141  12.090  157.250   1.120    0.0
Tb    5.852  11.519  158.920   0.400    0.0
Dy    5.927  11.670  162.500   1.060    0.0
Ho    6.018  11.800  164.930   0.500    0.0
Er    6.101  11.930  167.260   0.800    0.0
Tm    6.184  12.050  168.930   0.260    0.0
Yb    6.254  12.184  173.040   1.000    0.0
Lu    5.426  13.900  174.970   0.760    0.0
Hf    6.650  14.900  178.490   0.800    0.0
Ta    7.879  16.200  180.950   0.300    0.0
W_    7.980  17.700  183.850   1.100    0.0
Re    7.870  16.600  186.200   0.600    0.0
Os    8.700  17.000  190.200   1.000    0.0
Ir    9.100  20.000  192.200   1.000    0.0
Pt    9.000  18.560  195.090   1.750    0.0
Au    9.220  20.500  196.970   0.750    0.0
Hg   10.430  18.750  200.590   0.900    0.0
Tl    6.105  20.420  204.370   0.900    0.0
Pb    7.415  15.030  207.190   1.930    0.0
Bi    7.287  16.680  208.980   0.700    0.0
Po    8.430  19.000  210.000  -8.000    0.0
At    9.300  20.000  211.000  -8.000    0.0
Rn   10.745  20.000  222.000  -8.000    0.0
Fr    4.000  22.000  223.000  -8.000    0.0
Ra    5.276  10.144  226.100  -8.000    0.0
Ac    6.900  12.100  227.100  -8.000    0.0
Th    6.000  12.000  232.040   0.280    0.0
Pa    6.000  12.000  231.000  -8.000    0.0
U_    6.000  12.000  238.030   0.000    0.0
