Data from Shelyag's thesis, appendix

Element Abundance 1st potential 2nd potential Relative mass
Ti 4.99 6.8200 13.5756 47.90
Ni 6.21 18.16884 58.6934 58.6934
V 3.96 14.66 50.9415 50.9415
Fe 7.50 7.9024 16.1879 55.85
Cr 5.67 6.7667 16.4858 51.9961
Nd 1.46 5.5250 10.73 144.24
Ca 6.36 6.1132 11.8718 40.08
Sc 3.06 6.56144 12.79967 44.9559
Y 2.20 6.217 12.24 88.90585
Mn 5.45 7.4340 15.640 54.938


4295.009 ?Q? 1 1 17.5 0 0 0.387E-02
4295.085 ?Q? 2 2 16.5 0 0 0.387E-02
4295.199 ?Q? 2 2 15.5 0 0 0.387E-02
4295.245 ?Q? 1 1 16.5 0 0 0.387E-02
4296.198 ?R? 2 2 1.5 1 1 0.344E-02
4296.211 ?R? 2 2 1.5 1 1 0.344E-02
4296.598 ?R? 2 2 1.5 0 0 0.387E-02
4296.648 ?R? 2 2 1.5 0 0 0.387E-02
4296.657 ?Q? 2 2 23.5 1 1 0.344E-02
4296.676 ?Q? 1 1 25.5 1 1 0.344E-02
4296.681 ?Q? 1 1 23.5 1 1 0.344E-02
4296.683 ?Q? 1 1 24.5 1 1 0.344E-02
4296.696 ?Q? 2 2 22.5 1 1 0.344E-02
4296.707 ?Q? 2 2 24.5 1 1 0.344E-02
4296.946 ?Q? 1 1 16.5 0 0 0.387E-02
4296.960 ?Q? 2 2 15.5 0 0 0.387E-02
4297.101 ?Q? 2 2 21.5 1 1 0.344E-02
4297.139 ?Q? 1 1 22.5 1 1 0.344E-02
4297.213 ?Q? 2 2 14.5 0 0 0.387E-02
4297.295 ?Q? 1 1 15.5 0 0 0.387E-02
4297.308 ?Q? 2 1 2.5 1 1 0.344E-02
4297.309 ?Q? 2 1 2.5 1 1 0.344E-02
4297.502 ?Q? 1 1 21.5 1 1 0.344E-02
4297.514 ?R? 1 1 2.5 1 1 0.344E-02
4297.516 ?R? 1 1 2.5 1 1 0.344E-02
4297.577 ?Q? 2 2 20.5 1 1 0.344E-02
4297.749 ?Q? 2 1 2.5 0 0 0.387E-02
4297.771 ?Q? 2 1 2.5 0 0 0.387E-02
4297.976 ?R? 1 1 2.5 0 0 0.387E-02
4297.999 ?R? 1 1 2.5 0 0 0.387E-02
4298.198 ?Q? 2 2 19.5 1 1 0.344E-02
4298.242 ?Q? 1 1 20.5 1 1 0.344E-02
4298.814 ?Q? 2 2 14.5 0 0 0.387E-02
4298.827 ?Q? 1 1 15.5 0 0 0.387E-02
4298.950 ?R? 2 2 3.5 2 2 0.281E-02
4298.976 ?Q? 1 1 19.5 1 1 0.344E-02
4298.993 ?Q? 2 2 18.5 1 1 0.344E-02
4299.146 ?Q? 2 2 13.5 0 0 0.387E-02
4299.146 ?R? 2 2 3.5 2 2 0.281E-02
